statement,category,effective_date,source
2026년 7월 기준 대한민국 대통령은 이재명이며 2025년 6월 4일 제21대 대통령으로 취임했다.,시사,2025-06-04,대한민국 정책브리핑
2026년 7월 기준 대한민국 국무총리는 한성숙이며 2026년 7월 1일 취임했다.,시사,2026-07-01,YTN
한성숙 국무총리는 대한민국 헌정사상 두 번째 여성 국무총리로 2026년 7월 1일 취임했다.,시사,2026-07-01,데일리안
전임 대한민국 국무총리 김민석은 2025년 7월 3일부터 2026년 6월 30일까지 제49대 국무총리를 역임했다.,시사,2026-06-30,위키백과 대한민국 국무총리
2026년 7월 기준 대한민국 경제부총리 겸 재정경제부 장관은 구윤철이다.,시사,2026-01-02,위키백과 구윤철
2026년 1월 2일 이재명 정부 정부조직개편으로 기획재정부가 재정경제부와 기획예산처로 분리되었다.,시사,2026-01-02,재정경제부(기획재정부) 정책브리핑
2026년 7월 기준 대한민국 기획예산처 장관은 박홍근이며 2026년 3월 25일 취임했다.,시사,2026-03-25,위키백과 이재명 정부의 국무위원
2025년 10월 1일 통계청이 국무총리 소속 국가데이터처로 승격 출범했으며 초대 처장은 안형준이다.,시사,2025-10-01,전자신문
2026년 7월 기준 대한민국 과학기술부총리 겸 과학기술정보통신부 장관은 배경훈이며 2025년 10월 1일 취임했다.,시사,2025-10-01,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 외교부 장관은 조현이며 2025년 7월 18일 취임했다.,시사,2025-07-18,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 통일부 장관은 정동영이며 2025년 7월 25일 취임했다.,시사,2025-07-25,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 법무부 장관은 정성호이며 2025년 7월 18일 취임했다.,시사,2025-07-18,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 행정안전부 장관은 윤호중이며 2025년 7월 19일 취임했다.,시사,2025-07-19,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 교육부 장관은 최교진이며 2025년 10월 1일 취임했다.,시사,2025-10-01,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 문화체육관광부 장관은 최휘영이며 2025년 7월 31일 취임했다.,시사,2025-07-31,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 보건복지부 장관은 정은경이며 2025년 7월 21일 취임했다.,시사,2025-07-21,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 고용노동부 장관은 김영훈이며 2025년 7월 21일 취임했다.,시사,2025-07-21,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 국토교통부 장관은 김윤덕이며 2025년 7월 31일 취임했다.,시사,2025-07-31,위키백과 이재명 정부의 국무위원
2026년 1월 2일 이재명 정부 정부조직개편으로 환경부가 기후에너지환경부로 개편되었으며 장관은 김성환이다.,시사,2026-01-02,위키백과 이재명 정부의 국무위원
2026년 1월 2일 이재명 정부 정부조직개편으로 여성가족부가 성평등가족부로 개편되었으며 장관은 원민경이다.,시사,2026-01-02,위키백과 이재명 정부의 국무위원
2026년 1월 2일 이재명 정부 정부조직개편으로 산업통상자원부가 산업통상부로 개편되었으며 장관은 김정관이다.,시사,2026-01-02,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 농림축산식품부 장관은 송미령이다.,시사,2026-07-15,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 해양수산부 장관은 황종우이며 2026년 3월 25일 취임했다.,시사,2026-03-25,위키백과 이재명 정부의 국무위원
2026년 7월 기준 대한민국 국회의장은 조정식이며 2026년 6월 5일 제22대 국회 후반기 국회의장으로 선출됐다.,시사,2026-06-05,대한민국국회
2026년 7월 기준 일본 내각총리대신은 다카이치 사나에이며 2025년 10월 21일 제104대 총리로 취임한 일본 최초의 여성 총리다.,시사,2025-10-21,위키백과 다카이치 사나에
2026년 7월 기준 미국 대통령은 도널드 트럼프이며 2025년 1월 20일 제47대 대통령으로 취임했다.,시사,2025-01-20,연합뉴스
2026년 7월 기준 중화인민공화국 국가주석은 시진핑이다.,시사,2026-07-15,위키백과 시진핑
도널드 트럼프는 2025년 1월 20일 제47대 미국 대통령으로 취임했으며 이는 그의 두 번째 대통령 임기다.,시사,2025-01-20,위키백과 2025년 도널드 트럼프 대통령 취임식
2026년 7월 기준 미국 부통령은 J.D. 밴스이며 2025년 1월 20일 취임했다.,시사,2025-01-20,VOA 코리아
2026년 7월 기준 유엔 사무총장은 안토니우 구테흐스이며 2017년 1월 1일 제9대 사무총장으로 취임했다.,시사,2026-07-15,위키백과 유엔 사무총장
2026년 7월 기준 북대서양조약기구 사무총장은 마르크 뤼터이며 2024년 10월 1일 옌스 스톨텐베르그의 후임으로 취임했다.,시사,2024-10-01,위키백과 북대서양 조약 기구 사무총장
2026년 7월 기준 대한민국 대법원장은 조희대다.,시사,2026-07-15,위키백과 조희대
2026년 7월 기준 러시아 대통령은 블라디미르 푸틴이다.,시사,2026-07-15,위키백과 블라디미르 푸틴
2026년 7월 기준 중화인민공화국 국무원 총리는 리창이다.,시사,2026-07-15,중국국제방송(CRI) 2026년 7월 보도
2026년 7월 기준 조선민주주의인민공화국 국무위원장 겸 조선노동당 총비서는 김정은이다.,시사,2026-07-15,Wikipedia Kim Jong Un
