statement,category,effective_date,source
이두희 예비역 육군 중장은 2025년 6월 27일 이재명 정부의 첫 국방부 차관인 제46대 대한민국 국방부 차관으로 취임했다.,인사,2025-06-27,파이낸셜뉴스 2025년 6월 27일 보도 및 뉴스핌 2025년 6월 27일 보도
공군사관학교 39기 출신인 김홍철 예비역 공군 준장은 2026년 5월 기준 대한민국 국방부 국방정책실장을 맡고 있다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
권대원 육군 중장은 2026년 5월 기준 대한민국 합동참모본부 차장을 맡고 있다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
강현우 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 합동참모본부 작전본부장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
강동구 해군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 합동참모본부 전략기획본부장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
구상모 공군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 합동참모본부 군사지원본부장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
김준호 공군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 국방정보본부장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
국방정보본부장의 합동참모본부 정보본부장 겸직은 2025년 10월 국방정보본부령 개정안 입법예고를 통해 해제됐다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
육군사관학교 49기 출신인 박재열 육군 중장은 2026년 5월 기준 핵·대량살상무기 대응을 담당하는 국군전략사령부의 전략사령관을 맡고 있다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
학사장교 26기 출신인 편무삼 육군 소장은 2026년 5월 기준 국군방첩사령관을 맡고 있으며 학사장교 출신 최초의 방첩사 지휘관이다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도 및 한국일보 2025년 8월 17일 보도
국군방첩사령부는 12·3 비상계엄 여파에 따라 2026년 1월 9일부로 군단급에서 사단급 기능사령부로 격하됐다.,인사,2026-01-09,서울경제 2026년 5월 19일 보도
조선대학교 학군장교(ROTC) 출신인 박민영 육군 소장은 2026년 1월 9일 국방부 장성급 장교 인사에서 정보사령관에 보직되어 38년 만의 비육사 출신 정보사령관이 됐다.,인사,2026-01-09,경향신문 2026년 1월 30일 보도 및 연합뉴스 2026년 1월 9일 보도
최장식 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군참모차장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
어창준 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 수도방위사령관에 보직됐다.,인사,2025-11-13,뉴스1 2025년 11월 13일 보도 및 경향신문 2025년 11월 13일 보도
박성제 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군특수전사령관에 보직됐다.,인사,2025-11-13,뉴스1 2025년 11월 13일 보도 및 경향신문 2025년 11월 13일 보도
권혁동 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군미사일전략사령관에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
강관범 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군교육사령관에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
박춘식 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군군수사령관에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
한기성 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군 제1군단장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 서울경제 2026년 5월 19일 보도
육군사관학교 51기 출신인 정유수 육군 중장은 2026년 5월 기준 육군 제2군단장을 맡고 있다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
김종묵 육군 중장은 2026년 6월 5일 발표된 국방부 전반기 정기 장성 인사에서 육군 제3군단장에 보직됐다.,인사,2026-06-05,문화일보 2026년 6월 5일 보도
육군사관학교 51기 출신인 이일용 육군 중장은 2026년 5월 기준 육군 제5군단장을 맡고 있다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
육군사관학교 49기 출신인 최성진 육군 중장은 2026년 5월 기준 육군 유일의 기동군단인 제7군단의 군단장을 맡고 있다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
육군사관학교 50기 출신인 이임수 육군 중장은 2026년 5월 기준 육군 수도군단장을 맡고 있다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
육군사관학교 49기 출신인 서진하 육군 중장은 2026년 5월 기준 지상작전사령부 부사령관을 맡고 있다.,인사,2026-05-19,서울경제 2026년 5월 19일 보도
윤한일 육군 소장은 2026년 6월 5일 발표된 국방부 전반기 정기 장성 인사에서 중장으로 진급하며 지상작전사령부 참모장에 보직됐다.,인사,2026-06-05,MBC 2026년 6월 6일 보도 및 동양일보 2026년 6월 7일 보도
육군사관학교 48기 출신인 박후성 육군 중장은 2026년 6월 기준 육군사관학교장을 맡고 있다.,인사,2026-06-12,중앙일보 2026년 4월 16일 보도 및 월간조선 2026년 4월 30일 보도
곽광섭 해군 중장은 2026년 6월 10일 부산 해군기지에서 열린 취임식을 통해 제35대 해군작전사령관으로 취임했다.,인사,2026-06-10,뉴시스 2026년 6월 10일 보도 및 국민일보 2026년 6월 10일 보도
조충호 해군 소장은 2026년 6월 5일 발표된 국방부 전반기 정기 장성 인사에서 중장으로 진급하며 해군참모차장에 보직됐다.,인사,2026-06-05,MBC 2026년 6월 6일 보도 및 동양일보 2026년 6월 7일 보도
