statement,category,effective_date,source
서울 국제 항공우주 및 방위산업 전시회(서울 ADEX 2027)는 2027년 10월 19일부터 10월 22일까지 경기도 성남 서울공항에서 개최된다.,일정,2026-07-14,서울 ADEX 공식 홈페이지(한국항공우주산업협회·한국방위산업진흥회)
국내 지상 방산 전시회 KADEX와 DX KOREA를 통합한 전시회가 2026년 12월 8일부터 12월 11일까지 킨텍스 제2전시장에서 개최되는 것으로 확정 발표되었다.,일정,2026-07-03,뉴스핌(통합 전시회 조직위원회 발표)
2026 FIFA 북중미 월드컵 결승전은 2026년 7월 19일 미국 뉴저지주 이스트러더퍼드의 메트라이프 스타디움에서 개최된다.,일정,2024-02-04,FIFA(국제축구연맹)
제20회 하계 아시안게임인 2026 아이치·나고야 아시안게임은 2026년 9월 19일부터 10월 4일까지 일본 아이치현과 나고야시 일원에서 개최된다.,일정,2026-07-14,아시아올림픽평의회(OCA)·2026 아이치·나고야 아시안게임 조직위원회
2026년 APEC 정상회의는 2026년 11월 18일부터 11월 19일까지 중국 광둥성 선전에서 개최된다.,일정,2026-07-14,APEC 의장국 중국 정부 발표(뉴스1 보도)
2026년 G20 정상회의는 2026년 12월 14일부터 12월 15일까지 미국 플로리다주 마이애미의 트럼프 내셔널 도랄 리조트에서 개최된다.,일정,2026-02-19,미국 재무부 발표(MBC뉴스·뉴스1 보도)
2028 로스앤젤레스 하계올림픽은 2028년 7월 14일 개막해 2028년 7월 30일 폐막한다.,일정,2026-07-14,LA28 올림픽 조직위원회
2027학년도 대학수학능력시험은 2026년 11월 19일 시행되며 성적은 2026년 12월 11일 수험생에게 통지된다.,일정,2026-07-14,교육부·한국교육과정평가원
2027 충청권 하계세계대학경기대회(하계 유니버시아드)는 2027년 8월 1일부터 8월 12일까지 대전·세종·충북·충남 일원에서 개최된다.,일정,2026-07-14,2027 충청권 하계세계대학경기대회 조직위원회(FISU 합의 확정)
제15회 서울안보대화(SDD)는 2026년 9월 7일부터 9월 9일까지 서울 롯데호텔에서 개최된다.,일정,2026-07-14,국방부 서울안보대화 공식 홈페이지
