statement,category,effective_date,source
"3600톤급 신형 호위함(울산급 Batch-III 2번함) 경북함이 2026년 6월 24일 대한민국 해군에 취역했다.",전력화,2026-06-24,서울평양뉴스(SPN)
"방위사업청은 2025년 6월 26일 한국항공우주산업(KAI)과 KF-21 보라매 전투기 20대 추가 양산 계약을 체결했으며, 이로써 공군용 Block-I은 총 40대가 양산된다.",전력화,2025-06-26,경향신문
"KF-21 보라매 전투기 양산 1호기 출고 기념식이 2026년 3월 25일 개최되었다.",전력화,2026-03-25,방위사업청
"방위사업청은 2026년 4월 9일 핀란드 정부와 K9 자주포 112대 규모의 2차 수출 계약을 체결했으며, 계약 규모는 약 9400억원이다.",전력화,2026-04-09,대한민국 정책브리핑(방위사업청 보도자료)
"LIG넥스원은 2024년 9월 이라크 국방부와 천궁-II(M-SAM) 지대공 유도무기 3조7135억원 규모의 수출 계약을 체결했다.",전력화,2024-09-19,글로벌이코노믹
"한국항공우주산업(KAI)은 2025년 6월 4일 필리핀 국방부와 FA-50 경공격기 12대 추가 수출 계약을 체결했으며, 계약 규모는 약 1조원이다.",전력화,2025-06-04,대한민국 정책브리핑
"현대로템은 2025년 8월 1일 폴란드 군비청과 65억 달러(약 8조7000억원) 규모의 K2 전차 2차 이행계약을 체결했으며, K2GF 116대와 폴란드형 K2PL 64대 등이 포함된다.",전력화,2025-08-01,머니투데이
"방위사업청은 2024년 12월 26일 국산 소형무장헬기(LAH) 미르온 양산 1호기를 육군에 인도해 최초 전력화했다.",전력화,2024-12-26,대한민국 정책브리핑(방위사업청 보도자료)
"군 정찰위성 확보를 위한 425사업의 마지막 위성인 정찰위성 5호기가 2025년 11월 2일 미국 반덴버그 우주군기지에서 스페이스X 팰컨9으로 발사되어 목표 궤도 진입과 지상국 교신에 성공했다.",전력화,2025-11-02,경향신문
"정조대왕급 이지스구축함 2번함 다산정약용함(DDG-996)이 2025년 9월 17일 진수되었다.",전력화,2025-09-17,뉴스1
"정조대왕급 이지스구축함 1번함 정조대왕함(DDG-995)이 2024년 12월 2일 대한민국 해군에서 취역식을 갖고 취역했다.",전력화,2024-12-02,서울평양뉴스(SPN)
"한화에어로스페이스는 2025년 12월 폴란드 군비청과 약 5조6000억원 규모의 K239 천무 다연장로켓 3차 실행계약을 체결했다.",전력화,2025-12-29,SBS
"한화에어로스페이스는 2025년 12월 21일 에스토니아 국방투자센터(ECDI)와 약 3억 유로 규모의 K239 천무 다연장로켓 정부 간(G2G) 수출 계약을 체결했다.",전력화,2025-12-21,대한민국 정책브리핑
"장보고-III Batch-II 선도함(1번함)인 3600톤급 잠수함 장영실함이 2025년 10월 22일 경남 거제 한화오션 조선소에서 진수식을 갖고 진수되었다.",전력화,2025-10-22,대한민국 정책브리핑
"한화에어로스페이스 호주법인은 2023년 12월 호주 국방부와 레드백(AS-21) 장갑차 129대를 공급하는 약 3조1600억원 규모의 수출 본계약을 체결했다.",전력화,2023-12-08,비즈니스포스트
"방위사업청은 2026년 5월 7일 KF-21 보라매 전투기가 체계개발의 최종 관문인 전투용 적합 판정을 획득했다고 발표했다.",전력화,2026-05-07,대한민국 정책브리핑(방위사업청 보도자료)
"한화에어로스페이스는 2023년 12월 1일 폴란드 군비청과 약 3조4474억원 규모의 K9 자주포 152문 2차 실행계약을 체결했다.",전력화,2023-12-01,한화그룹
"한화에어로스페이스는 2026년 2월 폴란드와의 K9 자주포 1차 실행계약 물량인 212문을 모두 인도하며 납기를 완료했다.",전력화,2026-07-05,이데일리
"군 정찰위성 확보를 위한 425사업의 네 번째 위성인 정찰위성 4호기(SAR 위성)가 2025년 4월 22일 미국 케이프커내버럴 우주군기지에서 스페이스X 팰컨9으로 발사되어 성공했다.",전력화,2025-04-22,서울신문
"방위사업청은 2024년 5월 한국형 미사일방어체계(KAMD)의 핵심 전력인 L-SAM(장거리 지대공 유도무기)이 전투용 적합 판정을 획득했다고 밝혔다.",전력화,2024-05-25,뉴스웍스
"LIG넥스원(LIG D&A)은 2025년 11월 27일 방위사업청과 총 1639억원 규모의 L-SAM 양산 계약을 체결했다.",전력화,2025-11-27,국민일보
"한화에어로스페이스는 2025년 11월 28일 방위사업청과 약 7054억원 규모의 L-SAM 양산 계약을 체결했다.",전력화,2025-11-28,국민일보
"한화에어로스페이스는 2025년 9월 노르웨이 국방물자청과 K9 자주포 24문을 추가 공급하는 수출 계약을 체결했다.",전력화,2025-09-19,한국일보
"방위사업청은 2026년 4월 8일 부산 대한항공 테크센터에서 중고도정찰용 무인항공기(MUAV) 양산 1호기 출고식을 개최했으며, 국산화율은 약 90%다.",전력화,2026-04-08,대한민국 정책브리핑
"울산급 Batch-III 1번함인 3600톤급 신형 호위함 충남함(FFG-828)이 2024년 12월 18일 대한민국 해군에 인도되었다.",전력화,2024-12-18,헤럴드경제
"울산급 Batch-III 3번함인 3600톤급 신형 호위함 전남함(FFG-831)이 2025년 11월 25일 경남 고성 SK오션플랜트에서 진수되었다.",전력화,2025-11-25,파이낸셜뉴스
"울산급 Batch-III 4번함인 3600톤급 신형 호위함 제주함(FFG-832)이 2026년 4월 진수되었다.",전력화,2026-04-29,글로벌이코노믹
"군 정찰위성 425사업의 세 번째 위성인 정찰위성 3호기(SAR 위성)가 2024년 12월 21일 미국 반덴버그 우주군기지에서 스페이스X 팰컨9으로 발사되어 목표 궤도 진입에 성공했다.",전력화,2024-12-21,뉴스핌
"LIG디펜스앤에어로스페이스(LIG D&A)는 2026년 4월 22일 말레이시아 쿠알라룸푸르 DSA 2026 방산전시회에서 말레이시아 국방부와 함대공유도탄 해궁 수출 계약을 체결했으며, 계약 규모는 약 1400억원(9400만 달러)이다.",전력화,2026-04-22,뉴데일리
"한국항공우주산업(KAI)은 2024년 12월 23일 이라크 정부와 1358억원 규모의 한국형 기동헬기 수리온(KUH-1) 공급 계약을 체결했으며, 이는 국산 헬기의 첫 수출 사례다.",전력화,2024-12-23,아주경제
"대한민국 육군의 고위력 탄도미사일 현무-5가 2024년 10월 1일 건군 76주년 국군의 날 기념식에서 처음으로 실물 공개되었다.",전력화,2024-10-01,경향신문
