statement,category,effective_date,source
2010년 11월 23일 북한이 대한민국 인천광역시 옹진군 대연평도의 군부대와 민간인 지역을 향해 기습 포격을 가한 연평도 포격전이 발생했다.,전쟁사실,2010-11-23,위키백과(연평도 포격전)
연평도 포격전으로 대한민국 해병대원 서정우 병장과 문광욱 이병 2명이 전사하고 민간인 2명이 사망하는 등 사망자 4명이 발생했다.,전쟁사실,2010-11-23,위키백과(연평도 포격전)
연평도 포격전은 한국전쟁 정전협정 이후 북한이 대한민국 영토를 직접 포격해 민간인이 사망한 최초의 사건이다.,전쟁사실,2010-11-23,위키백과(연평도 포격전)
2010년 3월 26일 백령도 남서쪽 해상에서 대한민국 해군 초계함 천안함(PCC-772)이 북한의 어뢰 공격으로 침몰한 천안함 피격 사건이 발생했다.,전쟁사실,2010-03-26,위키백과(천안함 피격 사건)
천안함 피격 사건으로 대한민국 해군 장병 46명이 전사했다.,전쟁사실,2010-03-26,위키백과(천안함 피격 사건)
2010년 5월 20일 민군 합동조사단은 천안함이 북한 잠수정이 발사한 어뢰의 수중폭발로 침몰했다고 공식 발표했다.,전쟁사실,2010-05-20,민군 합동조사단
2022년 2월 24일 러시아가 우크라이나를 전면 침공하면서 러시아-우크라이나 전쟁이 시작되었다.,전쟁사실,2022-02-24,위키백과(러시아의 우크라이나 침공)
1950년 6월 25일 북한군이 38선을 넘어 대한민국을 기습 남침하면서 6·25 전쟁(한국전쟁)이 발발했다.,전쟁사실,1950-06-25,위키백과(6.25 전쟁)
1953년 7월 27일 판문점에서 6·25 전쟁의 정전협정(한국군사정전협정)이 체결되었다.,전쟁사실,1953-07-27,위키백과(6.25 전쟁)
1950년 9월 15일 더글러스 맥아더 원수의 지휘 아래 유엔군과 대한민국 국군이 인천상륙작전을 전개해 성공시켰다.,전쟁사실,1950-09-15,한국민족문화대백과사전
1999년 6월 15일 서해 연평도 인근 북방한계선 해상에서 대한민국 해군과 북한 경비정 간에 제1연평해전이 발생했다.,전쟁사실,1999-06-15,위키백과(제1연평해전)
2002년 6월 29일 서해 연평도 인근 북방한계선 해상에서 북한 경비정의 선제 기습 포격으로 제2연평해전이 발생했다.,전쟁사실,2002-06-29,위키백과(제2연평해전)
제2연평해전으로 대한민국 해군 장병 6명이 전사하고 19명이 부상했으며 참수리급 고속정 357호가 침몰했다.,전쟁사실,2002-06-29,위키백과(제2연평해전)
