statement,category,effective_date,source
2006년 10월 14일 유엔 안전보장이사회는 북한의 1차 핵실험에 대응해 대북 제재 결의 1718호를 만장일치로 채택했다.,정세,2006-10-14,유엔 안전보장이사회 보도자료 SC/8853
2009년 6월 12일 유엔 안전보장이사회는 북한의 2차 핵실험에 대응해 대북 제재 결의 1874호를 만장일치로 채택했다.,정세,2009-06-12,유엔 안전보장이사회 보도자료 SC/9679
2013년 3월 7일 유엔 안전보장이사회는 북한의 3차 핵실험에 대응해 대북 제재 결의 2094호를 만장일치로 채택했다.,정세,2013-03-07,유엔 안전보장이사회 보도자료 SC/10934
2016년 3월 2일 유엔 안전보장이사회는 북한의 4차 핵실험과 장거리 로켓 발사에 대응해 대북 제재 결의 2270호를 만장일치로 채택했다.,정세,2016-03-02,유엔 안전보장이사회 보도자료 SC/12267
2016년 11월 30일 유엔 안전보장이사회는 북한의 5차 핵실험에 대응해 북한산 석탄 수출 상한을 도입한 대북 제재 결의 2321호를 만장일치로 채택했다.,정세,2016-11-30,유엔 안전보장이사회 보도자료 SC/12603
2017년 8월 5일 유엔 안전보장이사회는 북한의 대륙간탄도미사일(ICBM) 시험발사에 대응해 대북 제재 결의 2371호를 만장일치로 채택했다.,정세,2017-08-05,유엔 안전보장이사회 보도자료 SC/12945
2017년 9월 11일 유엔 안전보장이사회는 북한의 6차 핵실험에 대응해 대북 정유제품 공급 상한을 도입한 제재 결의 2375호를 만장일치로 채택했다.,정세,2017-09-11,유엔 안전보장이사회 보도자료 SC/12983
2017년 12월 22일 유엔 안전보장이사회는 북한의 화성-15형 ICBM 발사에 대응해 대북 정유제품 공급을 연 50만 배럴로 제한한 제재 결의 2397호를 만장일치로 채택했다.,정세,2017-12-22,유엔 안전보장이사회 보도자료 SC/13141
2023년 4월 4일 핀란드가 미국에 북대서양조약 가입서를 기탁하며 북대서양조약기구(NATO)의 31번째 회원국이 되었다고 NATO가 공식 발표했다.,정세,2023-04-04,NATO 공식 홈페이지(nato.int)
2024년 3월 7일 스웨덴이 미국 워싱턴에 북대서양조약 가입서를 기탁하며 북대서양조약기구(NATO)의 32번째 회원국이 되었다고 NATO가 공식 발표했다.,정세,2024-03-07,NATO 공식 홈페이지(nato.int)
2019년 8월 2일 미국은 1987년 옛 소련과 체결한 중거리핵전력조약(INF)에서 공식 탈퇴를 완료했다고 미국 국무부가 발표했다.,정세,2019-08-02,미국 국무부(state.gov)
2023년 2월 21일 블라디미르 푸틴 러시아 대통령은 국정연설에서 미국과의 신전략무기감축협정(New START) 참여를 중단한다고 선언했다.,정세,2023-02-21,러시아 대통령 국정연설(경향신문 보도)
2021년 9월 15일 미국 영국 호주 3국 정상은 공동성명을 통해 인도태평양 지역 3자 안보 파트너십인 오커스(AUKUS) 창설을 발표했다.,정세,2021-09-15,미국 백악관 공동성명
2023년 11월 7일 러시아 외무부는 러시아의 유럽재래식무기감축조약(CFE) 탈퇴 절차가 완료되었다고 발표했다.,정세,2023-11-07,러시아 외무부(신화통신 보도)
2020년 11월 22일 미국은 러시아 등과 맺은 항공자유화조약(Open Skies Treaty)에서 공식 탈퇴를 완료했다고 미국 국무부가 밝혔다.,정세,2020-11-22,미국 국무부(state.gov)
