statement,category,effective_date,source
"병 봉급은 2025년부터 인상된 수준이 2026년에도 동일하게 유지되어 이병 월 75만원, 일병 월 90만원, 상병 월 120만원, 병장 월 150만원이 지급된다.",정책,2026-01-01,국방부
"장병내일준비적금의 병사 월 납입 한도는 2025년부터 55만원(은행별 최대 30만원)으로 확대되었으며, 2024년 이후 납입분에 대해 정부가 납입 원금의 100%를 매칭 지원금으로 지급한다.",정책,2025-01-01,국방부
"2026년도 국방예산은 2025년 12월 2일 국회 본회의 의결을 거쳐 전년 대비 7.5% 증가한 65조 8642억원으로 확정되었다.",정책,2025-12-02,국방부 보도자료
"2026년도 국방예산 중 방위력개선비는 전년 대비 11.9% 증가한 19조 9653억원, 전력운영비는 전년 대비 5.8% 증가한 45조 8989억원으로 확정되었다.",정책,2025-12-02,국방부 보도자료
"2026년 1월 1일부터 군인·군무원의 당직근무비가 평일 2만원에서 3만원으로, 휴일 4만원에서 10만원으로 인상되었다.",정책,2026-01-01,국방부
"2026년 1월 1일부터 장병 기본급식비 1인 1일 단가가 1만 3000원에서 1만 4000원으로 인상되었다.",정책,2026-01-01,국방부
"2026년 1월 1일부터 예비군 동원훈련 보상비가 인상되어 2박 3일 입영 동원훈련(Ⅰ형)은 8만 2000원에서 9만 5000원으로, 출퇴근식 동원훈련(Ⅱ형)은 4만원에서 5만원으로 올랐다.",정책,2026-01-01,국방부
2026년 1월 1일부터 5~6년차 지역예비군의 기본훈련·작계훈련에 대해 훈련 1회당 2만원의 훈련비가 신설되어 지급된다.,정책,2026-01-01,국방부
2026년 1월 1일부터 대학생 예비군의 기본훈련에 대해 훈련 1회당 1만원의 훈련비가 신설되어 지급된다.,정책,2026-01-01,국방부
2026년 1월 1일부터 예비군 훈련 급식비(도시락비)가 8000원에서 9000원으로 인상되었다.,정책,2026-01-01,국방부
"2026년 3월부터 장기복무 신규 확정 초급간부를 대상으로 하는 장기간부 도약적금이 시행되어, 월 최대 30만원 납입액에 정부가 100% 매칭 지원하며 3년 만기 시 약 2300만원을 수령할 수 있다.",정책,2026-03-01,국방부
"국방부는 2026년 하반기부터 단기복무장려금 지급 대상을 확대하여 대학 졸업 후 선발된 학사사관후보생에게 1200만원, 민간부사관과 학군부사관후보생(RNTC)에게 1000만원의 장려금을 지급한다고 발표했다.",정책,2026-06-30,국방부·서울경제
"2026년 공무원 보수는 공통 인상률 3.5%가 적용되었으며, 소위·중위·하사·중사 등 군 초급간부 봉급은 추가 인상률이 적용되어 최대 6.6% 인상되었고 2026년 1월 1일부터 소급 적용된다.",정책,2026-01-01,인사혁신처
"2026년 1월 1일 이후 병역법에 따라 6개월 이상 군 복무를 마친 사람은 국민연금 군복무 크레딧으로 실제 복무기간을 최대 12개월까지 국민연금 가입기간으로 인정받는다(기존 최대 6개월에서 확대).",정책,2026-01-01,보건복지부·국민연금공단
"2026년 현재 현역병의 의무복무기간은 육군·해병대 18개월, 해군 20개월, 공군 21개월이며, 사회복무요원의 복무기간은 21개월이다.",정책,2026-07-14,병무청
"종교적 신념 등에 따른 대체복무제는 2020년 10월 26일 첫 소집으로 시행되었으며, 대체복무요원은 교정시설에서 36개월간 합숙 복무한다.",정책,2020-10-26,병무청·법무부
"국방부는 2024년 9월 1일부터 병사 휴대전화 사용을 일과 후로 유지하는 정책을 확정 시행하여, 병사는 평일 오후 6시부터 오후 9시까지, 휴일 오전 8시 30분부터 오후 9시까지 휴대전화를 사용할 수 있다.",정책,2024-09-01,국방부
2024년 9월 1일부터 훈련병도 주말과 공휴일에 하루 1시간씩 휴대전화를 공식적으로 사용할 수 있게 되었다.,정책,2024-09-01,국방부
2024년부터 임관 3년 미만 초급간부에게도 주택수당(월 16만원)이 지급되도록 지급 대상이 확대되었다.,정책,2024-01-01,국방부·기획재정부
"2026년 1월 1일부터 병역의무 기피자의 인적사항 공개 항목이 확대되어 성명, 연령, 주소(건물번호 포함), 기피 일자 및 기피 요지, 위반 법 조항과 함께 여행국이 추가로 공개된다.",정책,2026-01-01,병무청
"2026년 1월 접수분(2026년 4월 입영)부터 현역 모집병 선발에서 면접점수와 고등학교 출결점수가 폐지되며, 육군 6개·공군 2개·해병대 1개 등 9개 특기만 면접이 유지된다.",정책,2026-01-01,병무청
"2026년 1월 15일부터 예비군은 본인의 출산휴가 또는 배우자 난임치료 등 출산·육아 관련 사유로 동원훈련 연기를 신청할 수 있다.",정책,2026-01-15,병무청
"2026년 1월 15일부터 예비군이 주요 업무 수행 등 경제활동 사유로 동원훈련 연기를 신청하는 경우 60일 범위 내에서 본인이 희망하는 일자까지 연기할 수 있다.",정책,2026-01-15,병무청
2026년 하반기부터 사회복무요원이 배우자의 임신검진에 동행하는 경우 최대 10일 범위의 동행휴가를 사용할 수 있는 제도가 신설되었다.,정책,2026-06-30,병무청
"2026년 하반기부터 공군 일반병은 자격·면허·가산점과 관계없이 블라인드 방식의 전산 공개추첨으로 선발된다.",정책,2026-06-30,병무청
"2026년 하반기부터 대체복무요원이 소집 기피로 형사처벌을 받은 경우에도 대체역 신분이 취소되지 않고 대체복무요원으로 복무를 이어갈 수 있도록 제도가 개선되었다.",정책,2026-06-30,병무청
"2026년 하반기부터 해외이주 신고 사유로 국외여행허가를 받으려는 병역의무자는 거주국 출입국 내역, 재학·재직 증명서 등 실제 거주 사실을 증명하는 서류를 제출해야 한다.",정책,2026-06-30,병무청
2026년 1월 1일부터 석·박사 통합과정 수료자도 병역지정업체 연구전담요원 자격이 인정된다.,정책,2026-01-01,병무청
