statement,category,effective_date,source
수도기계화보병사단의 전신인 수도경비사령부가 1949년 6월 20일 창설되었으며 상징명칭은 맹호부대이다.,조직,1949-06-20,연합뉴스(2026년 7월 2일 창설 77주년 보도)
수도기계화보병사단 사령부는 현재 경기도 가평군에 위치한다.,조직,2026-07-15,연합뉴스(2026년 7월 2일 보도)
제3보병사단은 상징명칭이 백골부대이며 강원도 철원군에 주둔해 최전방 경계를 담당한다.,조직,2026-07-15,철원인터넷신문
제7보병사단은 상징명칭이 칠성부대이며 강원도 화천군에 주둔한다.,조직,2026-07-15,병무청 입영부대 안내
제21보병사단은 강원도 양구군에 사령부를 두고 있다.,조직,2026-07-15,병무청 입영부대 안내
대한민국 해병대 제1사단은 경상북도 포항시에 사단사령부를 두고 있다.,조직,2026-07-15,대경일보
해군 제1함대는 강원도 동해시 동해 해군기지에 사령부를 두고 동해 해역 방어를 담당한다.,조직,2026-07-15,참뉴스
해군 제1함대의 모체는 1946년 8월 22일 창설된 조선해안경비대 묵호기지이다.,조직,1946-08-22,참뉴스
해군 제2함대는 경기도 평택시 평택 해군기지에 사령부를 두고 있다.,조직,2026-07-15,평택시(평택시사)
해군 제2함대는 인천·경기·충남 등 서해 중북부 해역의 방어를 담당한다.,조직,2026-07-15,평택시(평택시사)
해군 제3함대가 2007년 11월 15일 부산에서 전라남도 영암군 삼호읍 목포항으로 사령부를 이전했다.,조직,2007-11-15,서울신문(2007년 11월 14일 보도)
해군 제3함대의 목포 이전과 동시에 기존 목포해역방어사령부가 해체되었다.,조직,2007-11-15,서울신문(2007년 11월 14일 보도)
해군 제3함대는 남해 해역의 경비와 방어를 담당한다.,조직,2026-07-15,한국일보(2007년 11월 22일 보도)
육군사관학교의 전신인 남조선국방경비사관학교가 1946년 5월 1일 개교했다.,조직,1946-05-01,한국민족문화대백과사전(한국학중앙연구원)
육군사관학교는 1948년 정부 수립 후 현재의 교명인 육군사관학교로 확정되었다.,조직,1948-09-05,한국민족문화대백과사전(한국학중앙연구원)
육군사관학교는 서울특별시 노원구 공릉동 태릉에 위치하며 상징명칭은 화랑대이다.,조직,2026-07-15,한국민족문화대백과사전(한국학중앙연구원)
해군사관학교의 전신인 해군병학교가 1946년 1월 17일 개교했다.,조직,1946-01-17,한국민족문화대백과사전(한국학중앙연구원)
해군사관학교는 1948년 현재의 경상남도 창원시 진해구 옥포만 교정으로 이전했다.,조직,1948-10-25,한국민족문화대백과사전(한국학중앙연구원)
해군사관학교는 현재 경상남도 창원시 진해구에 위치한다.,조직,2026-07-15,디지털창원문화대전(한국학중앙연구원)
공군사관학교는 1949년 1월 14일 경기도 김포기지에서 육군항공사관학교로 창설되었다.,조직,1949-01-14,공군사관학교 공식 연혁
공군사관학교는 1949년 10월 1일 대한민국 공군 독립과 함께 교명이 공군사관학교로 변경되었다.,조직,1949-10-01,공군사관학교 공식 연혁
공군사관학교는 1985년 12월 21일 현재의 충청북도 청주시(당시 청원군)로 이전했다.,조직,1985-12-21,디지털동작문화대전(한국학중앙연구원)
공군사관학교는 충청북도 청주시 상당구 남일면에 위치하며 상징명칭은 성무대이다.,조직,2026-07-15,공군사관학교 공식 연혁
육군3사관학교가 1968년 10월 15일 창설되었다.,조직,1968-10-15,한국민족문화대백과사전(한국학중앙연구원)
육군3사관학교는 1969년 3월 18일 개교식을 거행했다.,조직,1969-03-18,디지털영천문화대전(한국학중앙연구원)
육군3사관학교는 경상북도 영천시 고경면에 위치하며 상징명칭은 충성대이다.,조직,2026-07-15,한국민족문화대백과사전(한국학중앙연구원)
국군간호사관학교가 1951년 1월 6일 한국전쟁 중 간호장교 양성을 위해 창설되었다.,조직,1951-01-06,한국민족문화대백과사전(한국학중앙연구원)
국군간호사관학교는 현재 대전광역시 유성구 자운대에 위치한다.,조직,2026-07-15,한국민족문화대백과사전(한국학중앙연구원)
대한민국 국방부가 2013년 국방대학교의 충청남도 논산 이전 계획을 확정·발표했다.,조직,2013-05-07,뉴데일리(2013년 5월 3일 보도)
