statement,category,effective_date,source
2026년 7월 기준 대한민국 해병대사령관은 주일석 해병 중장이며 2024년 12월 6일 취임했다.,인사,2024-12-06,위키백과 주일석
미국 육군 대장 제이비어 T. 브런슨은 2024년 12월 20일 취임해 한미연합군사령관과 주한미군사령관 및 유엔군사령관을 겸직하고 있다.,인사,2024-12-20,주한미군사령부(USFK) 공식 지휘관 약력 자료
이두희 예비역 육군 중장은 2025년 6월 27일 이재명 정부의 첫 국방부 차관인 제46대 대한민국 국방부 차관으로 취임했다.,인사,2025-06-27,파이낸셜뉴스 2025년 6월 27일 보도 및 뉴스핌 2025년 6월 27일 보도
2026년 7월 기준 대한민국 병무청장은 홍소영이며 2025년 7월 14일 제29대 병무청장으로 취임했다.,인사,2025-07-14,서울신문 2025-07-13 보도 및 아시아투데이 2025-07-13 보도
홍소영 병무청장은 1970년 병무청 개청 이래 최초의 여성 병무청장이다.,인사,2025-07-14,서울신문 2025-07-13 보도
2026년 7월 기준 대한민국 국방부 장관은 안규백이며 2025년 7월 25일 제51대 국방부 장관으로 취임했다.,인사,2025-07-25,위키백과 대한민국 국방부 장관
안규백 국방부 장관은 1961년 이후 64년 만에 처음으로 임명된 민간인 출신 국방부 장관이다.,인사,2025-07-25,위키백과 대한민국 국방부 장관
2026년 7월 기준 한미연합군사령부 부사령관은 김성민 육군 대장이며 2025년 9월 2일 제32대 부사령관으로 취임했다.,인사,2025-09-02,위키백과 한미연합군사령부 부사령관
2026년 7월 기준 대한민국 공군참모총장은 손석락 공군 대장이며 2025년 9월 3일 제42대 공군참모총장으로 취임했다.,인사,2025-09-03,위키백과 대한민국의 공군참모총장
2026년 7월 기준 대한민국 육군 제2작전사령관은 김호복 육군 대장이며 2025년 9월 3일 제47대 제2작전사령관으로 취임했다.,인사,2025-09-03,노컷뉴스 2025-09-04 보도 및 뉴스1 2025-09-04 보도
2026년 7월 기준 대한민국 합동참모의장은 진영승 공군 대장이며 2025년 9월 30일 제45대 합동참모의장으로 취임했다.,인사,2025-09-30,위키백과 대한민국의 합동참모의장
2026년 7월 기준 대한민국 육군참모총장은 김규하 육군 대장이며 2025년 10월 31일 제52대 육군참모총장으로 취임했다.,인사,2025-10-31,위키백과 대한민국의 육군참모총장
강현우 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 합동참모본부 작전본부장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
강동구 해군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 합동참모본부 전략기획본부장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
구상모 공군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 합동참모본부 군사지원본부장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
김준호 공군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 국방정보본부장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
최장식 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군참모차장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
어창준 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 수도방위사령관에 보직됐다.,인사,2025-11-13,뉴스1 2025년 11월 13일 보도 및 경향신문 2025년 11월 13일 보도
박성제 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군특수전사령관에 보직됐다.,인사,2025-11-13,뉴스1 2025년 11월 13일 보도 및 경향신문 2025년 11월 13일 보도
권혁동 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군미사일전략사령관에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
강관범 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군교육사령관에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
박춘식 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군군수사령관에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
한기성 육군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 육군 제1군단장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 서울경제 2026년 5월 19일 보도
박규백 해군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 해군사관학교장에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
권영민 공군 중장은 2025년 11월 13일 국방부가 발표한 중장급 장성 인사에서 공군교육사령관에 보직됐다.,인사,2025-11-13,경향신문 2025년 11월 13일 보도 및 한국경제 2025년 11월 13일 보도
2026년 7월 기준 대한민국 방위사업청장은 이용철이며 2025년 11월 17일 제14대 방위사업청장으로 취임했다.,인사,2025-11-17,뉴스1 2025-11-14 보도 및 아주경제 2025-11-17 보도
이용철 방위사업청장은 이재명 정부의 첫 방위사업청장이며 변호사 출신으로 초대 방위사업청 차장을 지낸 인물이다.,인사,2025-11-17,뉴스1 2025-11-14 보도
